muncod2;ufmun;VotBol2018;Obtos_100khabit
171320;TO-MIRACEMA DO TOCANTINS;0,3893;235,6422622
171330;TO-MIRANORTE;0,5014;387,0775644
171360;TO-MONTE DO CARMO;0,3666;88,08355354
171370;TO-MONTE SANTO DO TOCANTINS;0,5268;263,2733655
171380;TO-PALMEIRAS DO TOCANTINS;0,36;75,09762691
171395;TO-MURICILÂNDIA;0,3298;56,32216277
171420;TO-NATIVIDADE;0,4314;173,0852445
171430;TO-NAZARÉ;0,274;179,5792714
171488;TO-NOVA OLINDA;0,4271;304,5942973
171500;TO-NOVA ROSALÂNDIA;0,5462;187,7934272
171510;TO-NOVO ACORDO;0,4195;69,09258406
171515;TO-NOVO ALEGRE;0,3776;85,76329331
171525;TO-NOVO JARDIM;0,3212;36,73769287
171550;TO-OLIVEIRA DE FÁTIMA;0,4;89,92805755
171570;TO-PALMEIRANTE;0,2751;132,7580485
171575;TO-PALMEIRÓPOLIS;0,5575;274,1872307
171610;TO-PARAÍSO DO TOCANTINS;0,7096;314,1340826
171620;TO-PARANÃ;0,1914;47,85146904
171630;TO-PAU D'ARCO;0,44;144,3596618
171650;TO-PEDRO AFONSO;0,4966;162,0268081
171660;TO-PEIXE;0,3408;136,1818027
171665;TO-PEQUIZEIRO;0,3968;164,3235348
171670;TO-COLMÉIA;0,5943;292,5045704
171700;TO-PINDORAMA DO TOCANTINS;0,4406;22,48706993
171720;TO-PIRAQUÊ;0,3686;33,02509908
171750;TO-PIUM;0,5288;52,26025608
171780;TO-PONTE ALTA DO BOM JESUS;0,2864;130,5483029
171790;TO-PONTE ALTA DO TOCANTINS;0,4478;99,51486503
171800;TO-PORTO ALEGRE DO TOCANTINS;0,2872;63,71455878
171820;TO-PORTO NACIONAL;0,4768;305,6027165
171830;TO-PRAIA NORTE;0,2667;83,0170778
171840;TO-PRESIDENTE KENNEDY;0,4802;135,7220413
171845;TO-PUGMIL;0,5284;37,20238095
171850;TO-RECURSOLÂNDIA;0,2671;93,17493594
171855;TO-RIACHINHO;0,3056;86,11410118
171865;TO-RIO DA CONCEIÇÃO;0,3034;93,89671362
171870;TO-RIO DOS BOIS;0,3653;141,1432604
171875;TO-RIO SONO;0,3724;30,87372646
171880;TO-SAMPAIO;0,28;84,90766292
171884;TO-SANDOLÂNDIA;0,5057;177,7777778
171886;TO-SANTA FÉ DO ARAGUAIA;0,4251;146,4323749
171888;TO-SANTA MARIA DO TOCANTINS;0,4044;58,24111823
171889;TO-SANTA RITA DO TOCANTINS;0,484;42,2832981
171890;TO-SANTA ROSA DO TOCANTINS;0,2816;103,5411058
171900;TO-SANTA TEREZA DO TOCANTINS;0,5076;139,5673412
172000;TO-SANTA TEREZINHA DO TOCANTINS;0,3487;118,623962
172010;TO-SÃO BENTO DO TOCANTINS;0,2817;150,2629602
172015;TO-SÃO FÉLIX DO TOCANTINS;0,2369;63,09148265
172020;TO-SÃO MIGUEL DO TOCANTINS;0,3086;115,3307521
172025;TO-SÃO SALVADOR DO TOCANTINS;0,2512;64,89292667
172030;TO-SÃO SEBASTIÃO DO TOCANTINS;0,2557;83,24661811
172049;TO-SÃO VALÉRIO DA NATIVIDADE;0,2789;202,020202
172065;TO-SILVANÓPOLIS;0,3993;425,6894318
172080;TO-SÍTIO NOVO DO TOCANTINS;0,2778;88,60338908
172085;TO-SUCUPIRA;0,5027;0
172090;TO-TAGUATINGA;0,3541;83,91776059
172093;TO-TAIPAS DO TOCANTINS;0,253;0
172097;TO-TALISMÃ;0,4488;71,6075904
172100;TO-PALMAS;0,6488;170,8304499
172110;TO-TOCANTÍNIA;0,2442;132,5381047
172120;TO-TOCANTINÓPOLIS;0,3235;179,2741583
172125;TO-TUPIRAMA;0,4316;105,764146
172130;TO-TUPIRATINS;0,29;37,43916136
172208;TO-WANDERLÂNDIA;0,4155;94,15389883
172210;TO-XAMBIOÁ;0,5044;233,9688042
210005;MA-AÇAILÂNDIA;0,5152;159,1889368
210010;MA-AFONSO CUNHA;0,0846;30,65603924
210015;MA-ÁGUA DOCE DO MARANHÃO;0,1406;63,63853313
210020;MA-ALCÂNTARA;0,1415;67,88251799
210030;MA-ALDEIAS ALTAS;0,1635;48,99743706
210040;MA-ALTAMIRA DO MARANHÃO;0,1956;110,7283465
210043;MA-ALTO ALEGRE DO MARANHÃO;0,1665;88,71474513
210047;MA-ALTO ALEGRE DO PINDARÉ;0,1314;140,9818603
210050;MA-ALTO PARNAÍBA;0,2796;62,55585344
210055;MA-AMAPÁ DO MARANHÃO;0,2133;57,45475438
210060;MA-AMARANTE DO MARANHÃO;0,294;132,7380234
210070;MA-ANAJATUBA;0,1354;78,3494385
210080;MA-ANAPURUS;0,1469;69,92117976
210083;MA-APICUM-AÇU;0,2152;29,00400255
210087;MA-ARAGUANÃ;0,1185;32,41280954
210090;MA-ARAIOSES;0,1131;27,99310939
210095;MA-ARAME;0,2135;107,030366
210100;MA-ARARI;0,2126;97,15893862
210110;MA-AXIXÁ;0,1615;41,22011542
210120;MA-BACABAL;0,3336;156,266377
210125;MA-BACABEIRA;0,1566;35,18029903
210130;MA-BACURI;0,1131;21,52620816
210135;MA-BACURITUBA;0,1102;17,71793055
210140;MA-BALSAS;0,4488;167,5677385
210150;MA-BARÃO DE GRAJAÚ;0,1089;10,62699256
210160;MA-BARRA DO CORDA;0,2905;62,34979368
210170;MA-BARREIRINHAS;0,1572;55,97492323
210173;MA-BELÁGUA;0,0634;40,16601955
210177;MA-BELA VISTA DO MARANHÃO;0,1631;142,7424391
210180;MA-BENEDITO LEITE;0,1525;35,51136364
210190;MA-BEQUIMÃO;0,144;79,88721805
210193;MA-BERNARDO DO MEARIM;0,2421;99,2884329
210197;MA-BOA VISTA DO GURUPI;0,1946;43,07095941
210200;MA-BOM JARDIM;0,1787;105,6930098
210203;MA-BOM JESUS DAS SELVAS;0,2612;67,59139532
210207;MA-BOM LUGAR;0,1695;42,96059899
210210;MA-BREJO;0,1675;52,20210457
210215;MA-BREJO DE AREIA;0,1813;87,07009142
210220;MA-BURITI;0,1139;24,4089546
210230;MA-BURITI BRAVO;0,1246;50,2428404
210232;MA-BURITICUPU;0,2534;55,28068769
210235;MA-BURITIRANA;0,3133;149,0602722
